Company_Name,Old_Symbol,New_Symbol,Date
Dalmia Bharat Limited,DALMIABEL,DALMIABHA,2013-01-09
L&T Fixed Maturity Plane Series - VI Plan E,FIFMPS6EG,LTFMPS6EG,2013-01-14
L&T Fixed Maturity Plan Series - VI Plan F,FIFMPS6FG,LTFMPS6FG,2013-01-14
L&T Fixed Maturiy Plan Series - VI Plan F,FIFMPS6ED,LTFMPS6ED,2013-01-14
Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- Plan F - DP,FIFMPS6FD,LTFMPS6FD,2013-01-14
Shirpur Gold Refinery Limited,AGEEGOLD,SHIRPUR-G,2013-01-17
Linde India Limited,BOC,LINDEINDIA,2013-04-10
Future Enterprises Limited,PANTALOONR,FRL,2013-04-11
Future Enterprises Limited,PRETAILDVR,FRLDVR,2013-04-11
Uttam Value Steels Limited,LLOYDSTEEL,UTTAMVALUE,2013-04-29
TGB Banquets And Hotels Limited,BHAGWATIHO,TGBHOTELS,2013-05-31
Zee Media Corporation Limited,ZEENEWS,ZEEMEDIA,2013-07-30
JSW Holdings Limited,JINDALSWHL,JSWHL,2013-07-30
Capri Global Capital Limited,MMFSL,CGCL,2013-08-05
Cineline India Limited,CINEPRO,CINELINE,2013-08-23
Rain Industries Limited,RAINCOM,RAIN,2013-08-23
Dr. Datson's Labs Limited,AANJANEYA,DRDATSONS,2013-09-02
Pressman Advertising Limited,NUCENT,PRESSMN,2013-09-11
Navneet Education Limited,NAVNETPUBL,NAVNETEDUL,2013-09-19
Ujaas Energy Limited,MBSWITCH,UJAAS,2013-09-23
The Ramco Cements Limited,MADRASCEM,RAMCOCEM,2013-09-30
Vedanta Limited,SESAGOA,SSLT,2013-10-04
Future Consumer Limited,FVIL,FCEL,2013-10-17
UPL Limited,UNIPHOS,UPL,2013-10-23
Piramal Phytocare Limited,PIRLIFE,PIRPHYTO,2013-10-23
Phoenix Lamps Limited,HALONIX,PHOENIXLL,2013-10-30
Nandan Denim Limited,NANDANEXIM,NDL,2013-11-21
Vakrangee Limited,VAKRANSOFT,VAKRANGEE,2013-11-27
ICICI Prudential MF - ICICI Prudential IF S1 - DQDP,IPRU8112,IPRU8122,2013-12-16
Mahindra CIE Automotive Limited,MAHINDFORG,MAHINDCIE,2013-12-17
DCB Bank Limited,DCB,DCBBANK,2014-01-15
Palred Technologies Limited,FOURSOFT,PALRED,2014-01-16
ANDHRA PAPER LIMITED,APPAPER,IPAPPM,2014-01-21
Shri Aster Silicates Limited,ASTERSILI,SHRIASTER,2014-02-03
DCM Shriram Limited,DCMSRMCONS,DCMSHRIRAM,2014-03-13
IIFL Finance Limited,INDIAINFO,IIFL,2014-03-13
SKIL Infrastructure Limited,HORIZONINF,SKIL,2014-03-24
ICICI Prudential Nifty ETF,NIFETF,INIFTY,2014-05-05
ICICI Prudential Nifty 100 ETF,ICCNX100,ICNX100,2014-05-05
ICICI Prudential Gold ETF,IPGETF,IGOLD,2014-05-05
Dalmia Refractories Limited,SHRINATRAJ,DALMIAREF,2014-05-22
Cyient Limited,INFOTECENT,CYIENT,2014-05-22
Noesis Industries Limited,MVLIND,NOESISIND,2014-06-04
ICICI Prudential Sensex ETF,SPICE,ISENSEX,2014-08-18
DiGiSPICE Technologies Limited,SMOBILITY,SPICEMOBI,2014-08-19
Expleo Solutions Limited,THINKSOFT,SQSBFSI,2014-09-30
Prozone Intu Properties Limited,PROZONECSC,PROZONINTU,2014-10-07
AXISCADES Technologies Limited,AXIS-IT&T,AXISCADES,2014-10-08
Crest Ventures Limited,SHARRESLTD,CREST,2014-10-16
Techindia Nirman Limited,NATHSEED,TECHIN,2014-10-31
Dhunseri Ventures Limited,DPTL,DPL,2014-11-12
Surana Solar Limited,SURANAVEL,SURANASOL,2014-11-19
RattanIndia Enterprises Limited,IBIPL,RTNINFRA,2014-11-20
RattanIndia Power Limited,IBPOW,RTNPOWER,2014-11-20
Srikalahasthi Pipes Limited,LANCOIN,SRIPIPES,2014-12-17
A2Z Infra Engineering Limited,A2ZMES,A2ZINFRA,2014-12-31
E-Land Apparel Limited,MUDRA,ELAND,2015-03-13
Dhani Services Limited,IBSEC,IBVENTURES,2015-04-01
Excel Realty N Infra Limited,EXCELINFO,EXCEL,2015-05-05
GP Petroleums Limited,SAHPETRO,GULFPETRO,2015-05-06
Vedanta Limited,SSLT,VEDL,2015-05-07
IZMO Limited,LOGIXMICRO,IZMO,2015-05-15
Metalyst Forgings Limited,AHMEDFORGE,METALFORGE,2015-06-01
Castex Technologies Limited,AMTEKINDIA,CASTEXTECH,2015-06-11
NIPPON INDIA ETF NV20,RELNV20,NETFNV20,2015-06-22
Welspun Enterprises Limited,WELPROJ,WELENT,2015-06-24
PIL ITALICA LIFESTYLE LIMITED,PILIND,PILITA,2015-09-03
Adroit Infotech Limited,COLORCHIPS,SPHEREGSL,2015-10-13
SVOGL Oil Gas And Energy Limited,SHIV-VANI,SVOGL,2015-10-23
GOCL Corporation Limited,GULFCORP,GOCLCORP,2015-11-10
SBI-ETF Gold,SBIGETS,SETFGOLD,2015-11-24
SBI-ETF Nifty Next 50,SETFNIFJR,SETFNN50,2015-11-24
SBI-ETF Nifty 50,SETFNIFTY,SETFNIF50,2015-11-24
SBI-ETF Nifty Bank,SETFBANK,SETFNIFBK,2015-11-24
Kotak Mahindra MF - Kotak NV 20 ETF - DPO,KTKNV20ETF,KOTAKNV20,2015-12-21
Orchid Pharma Limited,ORCHIDCHEM,ORCHIDPHAR,2015-12-21
Vikas EcoTech Limited,VIKASGLOB,VIKASECO,2015-12-21
LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,LICNFESGP,LICNETFSEN,2015-12-30
LIC MF - LIC MF G-sec LT ETF - GO,LICNMFET,LICNETFGSC,2015-12-30
LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50,LICNFENGP,LICNETFN50,2015-12-30
Aditya Birla Fashion and Retail Limited,PFRL,ABFRL,2016-01-29
AYM Syntex Limited,WELSYNTEX,AYMSYNTEX,2016-02-03
Bharati Defence and Infrastructure Limited,BHARTISHIP,BHARATIDIL,2016-02-26
Max Financial Services Limited,MAX,MFSL,2016-02-26
Kamdhenu Limited,KIL,KAMDHENU,2016-03-18
Reliance Naval and Engineering Limited,PIPAVAVDOC,RDEL,2016-03-18
INEOS Styrolution India Limited,STYABS,INEOSSTYRO,2016-04-04
Ducon Infratechnologies Limited,DYNATECH,DUCON,2016-05-11
Arrow Greentech Limited,ARROWCOAT,ARROWGREEN,2016-05-11
Future Enterprises Limited,FRLDVR,FELDVR,2016-05-13
Future Enterprises Limited,FRL,FEL,2016-05-13
Invesco MF  Invesco India AIF - Sr 1 - Pl B - DS-P-GO,RIMFAI1BDG,IVZINA1BDG,2016-06-23
